Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:57:06
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Simples\T3\fem1simplesT3.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  231                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 4 106 111
  232                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 4 3 106
  233                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 111 88 89
  234                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 111 106 88
  235                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 5 111 109
  236                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 5 4 111
  237                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 109 89 90
  238                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 109 111 89
  239                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 89 115 90
  240                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 115 118 114
  241                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 118 89 88
  242                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 118 115 89
  243                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 114 117 113
  244                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 114 118 117
  245                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 118 116 117
  246                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 116 88 87
  247                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 116 118 88
  248                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 113 120 112
  249                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 120 117 119
  250                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 120 113 117
  251                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 112 179 180
  252                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 112 120 179
  253                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 178 119 177
  254                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 120 178 179
  255                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 120 119 178
  256                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 86 176 121
  257                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 86 175 176
  258                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 121 177 119
  259                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 121 176 177
  260                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 87 121 116
  261                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 87 86 121
  262                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 116 119 117
  263                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 116 121 119
  264                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 180 122 112
  265                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 180 181 122
  266                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 112 123 113
  267                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 112 122 123
  268                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 113 124 114
  269                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 113 123 124
  270                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 114 125 115
  271                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 114 124 125
  272                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 126 91
  273                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 126 115 125
  274                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 126 90 115
  275                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 129 123 128
